Sample Index,Source Text,Predicted Neutral Text,True Neutral Text
4,neutral underground - message board for progressive and conservative discussion for both sides on a supposedly level playing field .,the united states electoral system is polarised along the major political party faultline of republican and democrat parties and most political discussion ranges along those lines .,neutral underground - message board for progressive and conservative discussion for both sides.
5,"prong collars (also called pinch collar ) are a series of chain links with open ends turned towards the dog's neck so that, when the collar is tightened, it pinches the naturally loose skin around the dog's neck.","prong collars (also called pinch collars ) consist of a series of chain links with open ends turned towards the dog's neck so that, when the collar is tightened, they pinch the naturally loose skin around the dog's neck.","prong collars (also called pinch collars ) are a series of chain links with open ends turned towards the dog's neck so that, when the collar is tightened, it pinches the naturally loose skin around the dog's neck."
7,tastykake cupcakes come in 2-packs and 3-packs and are very tasty .,"by the 1990s, the snacks orignially sold for ten cents each now sold for more than fifty cents each.",tastykake cupcakes come in 2-packs and 3-packs.
9,these actions were later heavily fictionalized in the 1981 charles bronson classic death hunt.,the film dramatized events from a 1931 manhunt in the yukon organized by the royal canadian mounted police (rcmp) in which retired rcmp officer lqquot yukon lqquot lqquot lawrenceq lq quot w p dempster was involved.,these actions were later heavily fictionalized in the 1981 charles bronson film death hunt .
12,"during 19411942, with the luftwaffe constantly on the offensive against vast numbers of the ill-equipped and poorly trained soviet air force, conditions were perfect for the experienced well-equipped jg 52 fighter pilots to build up huge personal scores of aircraft shot down.","the experience and quality of the jg 52 pilots was in sharp contrast to the units they fought, which with few exceptions had been quite adequately trained before the war began, but seldom received further advanced training in tactics and gunnery during the war.","during 19411942, with the luftwaffe constantly on the offensive against vast numbers of the ill-equipped and poorly trained soviet air force, the experienced and well-equipped jg 52 fighter pilots claimed numerous aircraft shot down."
13,"corey lewandowski (born september 18, 1973) is an american political operative .",manafort has represented several world leaders including equatorial guinea 's teodoro obiang and former president of ukraine viktor yanukovych .,"corey lewandowski (born september 18, 1973) is an american campaign manager ."
14,"born in poverty in puerto rico, nieves daz was quickly involved in the world of crime and drugs, going by the nickname papo la muerte (papo death).","nieves diaz was born in puerto rico, and became involved in the world of crime and drugs, going by the nickname papo la muerte (papo death).","nieves diaz was born in puerto rico, and became involved in the world of crime and drugs, going by the nickname papo la muerte (papo death)."
16,"simone melchior cousteau, wife and partner to jacques cousteau , is a mystery to most people .","in a society where wives are often seen but not heard, simone is an exception .","simone melchior cousteau, was wife and partner to jacques cousteau."
17,"jonathan kay, writing in the conservative national post, sharply criticized elmasry.",she also said that those killed on september 11th were not innocent.,"jonathan kay, writing in the national post, sharply criticized elmasry."
20,the designer of colemak claims his layout has been downloaded 1600 times:,the colemak keyboard layout is available via download and online.,the designer of colemak reports that his layout has been downloaded 1600 times:
22,"the magazine the golden age, now published as awake!, began to print anti- blood propaganda .","members were encouraged to have no association with disfellowshipped relatives, and to also refuse familial blood transfusions .","the magazine the golden age, now published as awake!, began to publish negative results from blood transfusions ."
