Sequence,Predicted Neutral Text,True Neutral Text,BLEU Score
1,No neutral text provided,"hamas, acronym of harakat al-muqawama al-islamiyya (arabic: , literally ""islamic resistance movement"" and arabic for 'zeal'), is a palestinian islamist movement, and political party.",0.0
2,No neutral text provided,"in 1960, following his returm from military service, the various employees hired by elvis presley to handle security and his concert tours were affectionately dubbed the ""memphis mafia"" by the news media.",0.0
3,No neutral text provided,"generation y is one of the most medicated generations in human history, with many generation yers prescribed antidepressants and other behavior-altering drugs like ritalin.",0.0
4,his final cry as the south tower of the World Trade Center collapsed was reported in international headlines.,his final cry as the south tower of the world trade center collapsed made international headlines.,0.6842105263157895
5,"Pope Benedict XVI faced criticism from parts of the Islamic world for comments he made earlier regarding the Prophet Mohammed and Islam, leading to street protests in some cities.","pope benedict xvi islam controversy: pope benedict xvi is criticized throughout the islamic world for comments he made on september 12 regarding mohammed and islam, provoking street protests in south asia .",0.38067395150195105
6,No neutral text provided,"in this vein, some readers have found farrell's critique of colonialism and capitalism in his subsequent novel the singapore grip to be heavy-handed, although those new to the book after the crash of 2008 might not find it so .",0.0
7,"in this leadership race, the party chose John Tory as its leader.","in this leadership race, the party chose john tory as its leader.",0.8571428571428571
8,No neutral text provided,"the hsd ""neutral gear"" is achieved by turning the electric motors off.",0.015981965301676893
9,"the association was assessed approximately $20,000 in back taxes on the pavilion, and was the subject of two civil rights complaints due to the civil union controversy.","the association was assessed approximately $20,000 in back taxes on the pavilion, and was the subject of two related civil rights complaints.",0.8
10,No neutral text provided,"azerbaijanis, also known as azeris, are a turkic people numbering ca.",0.0
11,No neutral text provided,"in the kingdom of sardinia , homosexual acts were illegal and severely punished .",0.0
12,No neutral text provided,"he is the eldest son of gary ablett, who was a champion aussie rules player at geelong and hawthorn between 1982 - 1997. while gary sr. was a powerhouse forward with an exceptionally high leap, gary jr. has made his name as an on-baller/forward pocket known for his ability to find space in the tightest pack situations.",0.0
13,"The increase in investigated cases of police brutality is attributed to the more widespread use of video cameras, rather than an increase in awareness within police ranks.","the growing number of investigated cases of police brutality is attributed not to any increase of awareness within police ranks, but merely to more widespread use of video cameras.",0.7080653453399276
14,"a spin-off of filmation's he-man and the masters of the universe series, she-ra was aimed at a young female audience to complement he-man's popularity with young males.","a spin-off of filmation's he-man and the masters of the universe series, she-ra was aimed primarily at a young female audience to complement he-man's popularity with young males.",0.9682566771439106
15,she is known for her portrayal of Pam Beesly on the NBC comedy series The Office.,she is known for her portrayal of pam beesly on the nbc situation comedy the office.,0.6470588235294118
16,Patriotic Europeans Against the Islamisation of the West (PEGIDA) is a German non-parliamentary movement founded in Dresden in October 2014 that promotes anti-Muslim political positions.,"patriotic europeans against the islamisation of the west , abbreviated pegida or pegida, is a german non-parliamentary movement mostly regarded as being far right-wing, founded in dresden in october 2014 that promotes anti-muslim political positions.",0.3998128785000744
17,No neutral text provided,"at the time of horst khler 's birth the name of the town was heidenstein, now skierbieszw in german-occupied poland, as the seventh child of elisabeth and eduard khler, into a family of bessarabian germans from ryschkanowka, riscani in romanian bessarabia (near bli, present-day moldova).",0.0
18,No neutral text provided,"ammukutty, better known as ammu swaminathan, a social worker and independence activist from the vadakkath family of anakkara in palghat, kerala.",0.0
19,No neutral text provided,the late show with david letterman is an american late-night talk show hosted by david letterman on cbs.,0.0
20,No neutral text provided,"while the government of vietnam claims to safeguard the country against obscene or sexually explicit content through its blocking efforts, many of the filtered sites contain politically or religiously critical materials that might undermine the communist party and the stability of the political system .",0.0
21,No neutral text provided,"in the preface to the british edition (reprinted in letters from a war zone, 185-194), dworkin stated that the new right in the united states focused especially on preserving male authority in the family, the promotion of fundamentalist versions of orthodox religion, combating abortion, and undermining efforts to combat domestic violence (192-193), but that it also had, for the first time, ""succeeded in getting women as women (women who claim to be acting in the interests of women as a group) to act effectively in behalf of male authority over women, in behalf of a hierarchy in which women are subservient to men, in behalf of women as the rightful property of men, in behalf of religion as an expression of transcendent male supremacy"" (193).",0.0
22,No neutral text provided,"with its affordable price and simple design, it became one of the best-selling chairs ever made.",0.0
23,"despite his philosophical views, solidified in the public mind through his series of interviews with david sylvester, Bacon in person was engaging, charismatic, articulate, well-read, and openly gay.","despite his bleak existentialist outlook, solidified in the public mind through his articulate and vivid series of interviews with david sylvester, bacon in person was highly engaging and charismatic, articulate, well-read and openly gay.",0.7645740526740809
24,No neutral text provided,"he was a founder member of the band pink floyd , and was the lead vocalist, guitarist and principal songwriter during the band's psychedelic years, providing major musical and stylistic direction in their early compositions.",0.0
25,"in 2004, he retired after being diagnosed with ALS.",in 2004 he was forced to retire after being diagnosed with als.,0.6063657586001313
26,"on 30 november 2011 while being interviewed on bbc's the one show, clarkson commented on the uk's public sector strike that day, and jokingly said ""...i would have them taken outside and executed in front of their families.."".","on 30 november 2011 while being interviewed on bbc's the one show, clarkson commented on the uk's public sector strike that day, and said ""...i would have them taken outside and executed in front of their families.."".",0.9787234042553191
27,"HDMI is an all-digital audio/video interface capable of transmitting uncompressed streams, and it includes DRM protection.",the high-definition multimedia interface (hdmi) is a drm -enabled all-digital audio/video interface capable of transmitting uncompressed streams.,0.49713295378576094
28,"in 2008, Bishop gave a speech before the national conference of the council of conservative citizens.","in 2008, bishop gave a speech before the national conference of the controversial council of conservative citizens .",0.8934061650786117
29,No neutral text provided,"yeats' likely targets for next season will be the 'cup races', notably the yorkshire cup, ascot gold cup, goodwood cup, lonsdale cup , cadran cup and possibly the melbourne cup .",0.0
30,No neutral text provided,"calzaghe was tentatively scheduled to fight former light heavyweight champion glen johnson in the featured bout of a 8 july, 2006 card at millennium stadium in cardiff, wales he was forced to withdraw from the fight when he re - aggravated a hand injury.",0.0
31,No neutral text provided,"ran bosilek (26 september 1886, gabrovo - 8 october 1958, sofia), born gencho stanchev negentsov , was a bulgarian author of children's books.",0.0
32,"after living in radnorshire, mid-wales from 1970 to 1975, Alverson moved to Cambridge, England, where he was active in community organizing activities.","after living in radnorshire, mid-wales from 1970 to 1975, alverson moved to cambridge, england, where he was active in rabble-rousing activities.",0.8148148148148148
33,No neutral text provided,"1941 ) is a physician in wichita, kansas in the united states.",0.0
34,the film contains a scene in which de Niro and Depardieu are involved in an explicit encounter with an actress.,"the film features an explicit sex scene with de niro and depardieu, who are shown naked either side of an actress .",0.5195179673581217
35,"Instead of forcibly removing the emeralds once she was back on her feet, Knuckles gazed into her eyes.","instead of forcing the emeralds off of her once she was back on her feet, knuckles gazed at each other into her eyes.",0.623040626457124
36,No neutral text provided,"may 14 at a press conference, john lennon and paul mccartney introduce the beatles' new business concept, apple corps, ltd., an entertainment company that included a recording studio, a record label, and clothing store.",0.0
37,No neutral text provided,"lin falls in love with karla, a swiss-american woman who does not love him back, befriends local artists and actors, landing him roles as an extra in several bollywood movies, and is recruited by the mumbai underworld for various criminal operations, including drug and weapons trade.",0.0
38,No neutral text provided,he spent the 2012 postseason on the physically unable to perform list as the cardinals won the 2012 nlds against the washington nationals but lost the 2012 nlcs against the san francisco giants.,0.0
39,No neutral text provided,"on 21 july 2011, teamp0ison released what appeared to be court cases against sarah palin and barack obama, believed to have been taken from us government servers.",0.0
40,No neutral text provided,"israel has a policy of using military force to attack palestinian civilians, peaceful protesters and members of organizations that israel labels as ""terrorist"".",0.0
41,dubai ladies club is a private members club for women.,dubai ladies club is a private members club for women.,1.0
42,"in addition, the pact assured a temporary non-involvement of the Soviet Union's participation in a European war, as well as separating both Germany and Japan from forming a military alliance, thus allowing Stalin to concentrate on Japan in the battles of Khalkhin Gol (Nomonhan).","in addition, the pact assured a non-involvement of the soviet union's participation in a european war, as well as separating both germany and japan from forming a military alliance, thus allowing stalin to concentrate on japan in the battles of khalkhin gol (nomonhan).",0.7843137254901961
43,"micah stock (born December 31, 1988) is an American actor.","micah stock (born december 31, 1988) is an american actor.",0.8571428571428571
44,No neutral text provided,"keith olbermann (born january 27, 1959) is the american news anchor, commentator and radio sportscaster.",0.0
45,the united states of america was a progressive rock and psychedelic band whose works are an intriguing example of early electronic music in rock and roll.,the united states of america was a progressive rock and psychedelic band whose works are an example of early electronic music in rock and roll.,0.9629629629629629
46,No neutral text provided,myn bala is a 2011 kazakhstani historical dramatic film depicting the eighteenth century war fought between the kazakhs and the dzungar khanate.,0.0
47,"The Panacea Society is a Christian group based in Bedford, England, that distributes cure-alls and seeks to promote the work of Joanne Southcott.","the panacea society is christian -based cult based in bedford, england which sends out cure-alls and which wishes to promote the work of joanne southcott.",0.44412402201381107
48,No neutral text provided,"she wrote a book to help those with intestinal bowel disorders try a new approach to treating their problems, called the specific carbohydrate diet (scd) .",0.0
49,No neutral text provided,- short: fc porto or fcp - is a portuguese sports club best known for its footballing endeavors .,0.0
50,No neutral text provided,"it is known by various other names â for example, the united states' past conscription program was known colloquially as ""the draft"".",0.0
51,No neutral text provided,"over the next few years, the nutrition foundation funded and designed several small studies , each concluding that the diet produced little effect.",0.0
52,No neutral text provided,"robert silverberg (born january 15, 1935) is a american author, best known for writing science fiction.",0.0
53,No neutral text provided,spiegel worked briefly in hollywood in 1927 following a stint serving with hashomer hatzair in palestine.,0.0
54,"Congressman Dick Zimmer stated, ""I believe he is exactly the kind of predator that the legislature had in mind when it enacted the death penalty.""","congressman dick zimmer stated, ""i believe he is exactly the kind of predator that the legislature had in mind when it enacted the death penalty.""",0.8620689655172413
55,protests at the pipeline site in North Dakota began in the summer of 2016 and attracted indigenous people from throughout North America as well as other supporters.,protests at the pipeline site in north dakota began in the summer of 2016 and drew indigenous people from throughout north america as well as other supporters.,0.8214285714285714
56,No neutral text provided,"some of those remaining, like in edinburgh, have been converted into high street coffee bars, though the city has many dozens remaining untouched , most in various states of disrepair.",0.0
57,No neutral text provided,"it was founded by a 12 people , most notably sheldon adelson, who donated almost all of its initial funding.",0.0
58,the united bermuda party (ubp) is a centrist political party in Bermuda.,the united bermuda party (ubp) is a political party in bermuda.,0.8666666666666667
59,No neutral text provided,"2012 also saw cwnn contribute the opening track to a remix album from the german band s.y.p.h., which features ex-captain beefheart guitarist gary lucas and rambo amadeus, amongst others.",0.0
60,Marriage on April Fools' Day may come with challenges like any other day of the year.,"another myth is that marriage on april fools' day is not a good idea for a man, for he will be permanently ruled by his wife.",0.12061055136982708
61,No neutral text provided,"supporters also state that under mao's regime, china ended its ""century of humiliation"" from foreign interference and regained its status as major world power.",0.0
62,No neutral text provided,"careful marketing promoted the clothing as understated, sexy, classic casual wear.",0.0
63,"an independent political action committee not affiliated with the bush campaign, the National Security PAC, aired an ad entitled ""Weekend Passes"" which used a mug shot image of Horton, who is African American.","an independent political action committee not affiliated with the bush campaign , the national security political action committee , aired an ad entitled ""weekend passes"" which used a mug shot image of horton, who is african american.",0.7551366951620079
64,the Israeli army targeted PLO positions in south Lebanon without fully silencing Palestinian rocket launchers and guns.,the israeli army also heavily targeted plo positions in south lebanon without success in supressing palestinian rocket launchers and guns.,0.5643211499270759
65,No neutral text provided,robert gabriel mugabe kcb (born 21 february 1924) is the president of zimbabwe.,0.0
66,he began his career as a local DJ under the stage name Pauly D. One of his professional inspirations is the late DJ AM.,he began his career as a local dj under the moniker pauly d. one of his professional idols is dj am.,0.56
67,"when at drinking establishments, teetotalers (or teetotallers) either abstain from drinking completely, or consume non-alcoholic beverages such as water, juice, tea, coffee, virgin drinks, mocktails, and alcohol-free beer.","when at drinking establishments, teetotalers (or teetotallers) either abstain from drinking completely, or consume non-alcoholic beverages such as water, juice, tea, coffee, virgin drinks, mocktails, and alcohol-free beer.",1.0
68,"it was at this meeting that the home secretary volunteered to speak at the met bpa annual general meeting, an offer which was accepted by the chairman, paul wilson.","it was at this meeting that the home secretary volunteered to speak at the met bpa annual general meeting, an offer which was accepted by the chairman, paul wilson.",1.0
69,"since 2009, bakrie has been serving as the chairman of the Golkar party and is considered a potential nominee for the Indonesian presidential election in 2014.","since 2009, bakrie serves as the chairman of the golkar party and is running to become its nominee for the indonesian presidential election, 2014.",0.6785714285714286
70,"since Adam's departure, Brian has not returned to the show, with the exception of a few call-ins.","since adam's departure, brian has not returned to the show, with the exception of a couple of call-ins to the live show .",0.6755379666388379
71,No neutral text provided,lostprophets disbanded in 2013 after watkins was charged with extremely serious child sex offences in late 2012. after a highly publicized series of events watkins eventually decided to plead guilty.,0.0
72,"""O'Reilly made a clearer statement of fact when he said, 'In Malmedy, as you know, US forces captured SS forces who had their hands in the air and they were unarmed, and they shot them down.'","o'reilly stated ""in malmedy, as you know, us forces captured ss forces who had their hands in the air and they were unarmed and they shot them down.",0.6046511627906976
73,No neutral text provided,"shirley maclaine (born april 24, 1934) is an american film and theater actress, well-known not only for her acting, but also now for her beliefs in new age spirituality and reincarnation.",0.0
74,"""Manic Panic hair color offers a wide range of hair colors, styling products, makeup, and professional line for customers to choose from.""","being the original, manic panic hair color remains the leader in ""fashion"" hair colors, boasting 48 shades of classic hair color, 24 shades of amplified color, 11 colors of dye hard styling gel, 3 volumes of bleach, 48 shades of lipstick, 32 eye colors, spectacular glitters, lashes, nail polishes, powders, foundations, and a professional line.",0.12302962811290305
75,No neutral text provided,the suite bergamasque is one of the most famous piano suites of claude debussy.,0.0
76,No neutral text provided,"the war on drugs is a prohibition campaign undertaken by the united states government with the assistance of participating countries, intended to reduce the illegal drug tradeto curb supply and diminish demand for specific psychoactive substances deemed immoral, harmful, dangerous, or undesirable.",0.0
77,No neutral text provided,"his allies at the wall street journal have called pipes ""an authoritative commentator on the middle east.",0.0
78,No neutral text provided,"although the winning movie never won the best movie award, it was recognized as bollywood's most significant movie of the last fifty years .",0.0
79,"counter-missionary organizations respond to the efforts of evangelical Christians who aim to engage with individuals from the Jewish community for religious discussions and information sharing through personal counseling, websites with articles addressing missionary tactics, and discussion forums to address questions about the differences between Judaism and other religions.","counter-missionary organizations respond to the efforts of evangelical christians who target jews for conversion via personal counseling, web sites with articles addressing often used missionary tactics and discussion forums where jews who have questions about the differences between judaism and other religions can be answered.",0.5882352941176471
80,"the staff at Variety positively reviewed the work of the young cast and Bill Forsyth's directing, noting, ""Filmmaker Bill Forsyth, known for his friendly and unmalicious approach reminiscent of Rene Clair, depicts the story of young students, with a focus on a soccer team goalie named Gregory, as they explore relationships with the opposite sex. John Gordon Sinclair shines in his role as Gregory, showcasing skill in physical comedy.","the staff at variety liked the work of the young cast and forsyth's direction, and wrote, ""filmmaker bill forsyth, whose friendly, unmalicious approach recalls that of rene clair, is concerned with young students (in particular, a soccer team goalie, gregory) seeking out the opposite sex...as gregory, john gordon sinclair is adept at physical comedy.",0.4875
