Sample Index,Source Text,Predicted Neutral Text,True Neutral Text
7,tastykake cupcakes come in 2-packs and 3-packs and are very tasty .,tastykake cupcakes are available in 2-packs and 3-packs.,tastykake cupcakes come in 2-packs and 3-packs.
12,"during 19411942, with the luftwaffe constantly on the offensive against vast numbers of the ill-equipped and poorly trained soviet air force, conditions were perfect for the experienced well-equipped jg 52 fighter pilots to build up huge personal scores of aircraft shot down.",No neutral text provided,"during 19411942, with the luftwaffe constantly on the offensive against vast numbers of the ill-equipped and poorly trained soviet air force, the experienced and well-equipped jg 52 fighter pilots claimed numerous aircraft shot down."
70,"wintrich has collaborated with milo yiannopoulos, a far right-wing former editor at breitbart news.","wintrich has collaborated with milo yiannopoulos, a former editor at breitbart news.","wintrich has collaborated with milo yiannopoulos, a former editor at breitbart news."
83,the less-accomplished denis hamill writes for the new york daily news (see ),Denis Hamill writes for the New York Daily News.,denis hamill writes for the new york daily news (see )
180,"over the course of the day, police received more than 1,700 calls for service elsewhere in oakland that police were delayed or did not respond to because officers were busy confronting protesters.",No neutral text provided,"over the course of the day, the oakland police department claims to have received more than 1,700 calls for service elsewhere in oakland that were delayed or not responded to because officers were directed to prioritize confrontation with protesters."
239,"aram manougian , with a great vision, joined the armenian revolutionary federation at a very early age.",aram manougian joined the armenian revolutionary federation at a very early age.,aram manougian joined the armenian revolutionary federation at a very early age.
348,parappa the rapper 2 is a playstation 2 rhythm video game and the sequel to the groundbreaking parappa the rapper.,No neutral text provided,parappa the rapper 2 is a playstation 2 rhythm video game and the sequel to parappa the rapper.
369,"gritty but funny , rice's stories uniquely combine the hardboiled detective tradition with no-holds-barred, screwball comedy.","gritty but humorous, Rice's stories combine the hardboiled detective tradition with screwball comedy in a unique way.","gritty but humorous , rice's stories uniquely combine the hardboiled detective tradition with no-holds-barred, screwball comedy."
463,the most worrying fact is that the government has recognized that it used the nation's money to campaign for president chvez (according to venezuelan laws this is a clear evidence of electoral fraud) .,"The government has acknowledged using the nation's money to campaign for President Chávez, which is considered electoral fraud under Venezuelan laws.","a worrying fact for some is that the government has recognized that it used the nation's money to campaign for president chvez , which can be seen as electoral fraud under venezuelan law ."
482,the most interesting of her speeches are with hanuman when he reaches lanka.,Some of her most engaging discussions occur with Hanuman when he arrives in Lanka.,some of her most prominent speeches are with hanuman when he reaches lanka.
530,general shahbaz khan kamboh was the most capable and trusted general of the akbar.,general shahbaz khan kamboh was a general of the akbar.,general shahbaz khan kamboh was a general of the akbar.
