Sample Index,Source Text,Predicted Neutral Text,True Neutral Text
4,"hilda l. solis (born october 20, 1957) is an american socialist politician , and has been a democratic member of the united states house of representatives since 2001, representing the 31st and 32nd congressional districts of california that include east los angeles and the san gabriel valley.",No neutral text provided,"hilda l. solis (born october 20, 1957) is an american politician and has been a democratic member of the united states house of representatives since 2001, representing the 31st and 32nd congressional districts of california that include east los angeles and the san gabriel valley."
13,gnewsense is a gnu/ linux distribution based on ubuntu.,gNewSense is a GNU/Linux distribution based on Ubuntu.,gnewsense is a linux distribution based on ubuntu.
15,"located on a picturesque 15-acre campus in new delhi, india amity is also know for being the first wireless campus of india.","located on a 15-acre campus in New Delhi, India, Amity is also known for being the first wireless campus in India.","located on a 15-acre campus in new delhi, india amity is also know for being the first wireless campus of india."
17,"the last stage of this ridiculously long battle is situated in front of hyrule castle, in a magically closed-off arena.",No neutral text provided,"the last stage of this long battle is situated in front of hyrule castle, in a magically closed-off arena."
22,"graffiti (strictly, as singular, ""graffito,"" from the italian ""graffiti"" being the plural) are images or letters applied without permission to publicly viewable surfaces such as walls or bridges.",No neutral text provided,"graffiti (strictly, as singular, ""graffito,"" from the italian ""graffiti"" being the plural) are images or letters applied to publicly viewable surfaces such as walls or bridges."
23,"he was best known as the lead singer and lyricist of the popular american rock band the doors and one of plymouth christian academy's finest graduates , and is considered to be one of the most charismatic frontmen in the history of rock music.",he was known as the lead singer and lyricist of the popular American rock band the Doors and one of Plymouth Christian Academy's graduates.,"he was best known as the lead singer and lyricist of the popular american rock band the doors, and is considered to be one of the most charismatic frontmen in the history of rock music."
25,"john bryant, author and white supremist writes on his blog ""the quackwatch website, then, may be seen as a good representation of conventional medical opinion against the assault of alternative therapies.",No neutral text provided,"john bryant, author , writes on his blog ""the quackwatch website, then, may be seen as a good representation of conventional medical opinion against the assault of alternative therapies."
33,"the shooting stirred outrage among legal observers such as berkeley copwatch, civil rights organizers, ministers, and oakland city councilmember desley brooks (eastmont-seminary) who believe the shooting was an execution.",No neutral text provided,"the shooting stirred outrage among observers such as berkeley copwatch, civil rights organizers, ministers, and oakland city councilmember desley brooks (eastmont-seminary) who called the shooting an execution."
42,"old testament scholar gordon wenham proposes that this creation account bears the marks of a carefully contrived literary creation, written with a distinct theological agenda: the elevation of yahweh, the god of israel, over all other gods, and notably over marduk, the god of babylon.","According to Old Testament scholar Gordon Wenham, this creation account exhibits characteristics of a carefully constructed literary work, with a distinct theological purpose of highlighting the supremacy of Yahweh, the God of Israel, over all other deities, including Marduk, the god of Babylon.","according to old testament scholar gordon wenham this creation account bears the marks of a carefully contrived literary creation, written with a distinct theological agenda: the elevation of yahweh, the god of israel, over all other gods, and notably over marduk, the god of babylon."
45,"armchair revolutionary is a two-word cliche , which along with her sister, armchair activist, is a description of a speaker or writer who pretends radical positions without taking any action to instantiate them (""from the comfort of the armchair"").",No neutral text provided,"armchair revolutionary is a two-word cliche which , along with its sibling armchair activist, is a description of a speaker or writer who professes radical aims without taking any action to realize them (""from the comfort of the armchair"")."
46,a radio only version has been slated for release featuring well known pop artist katy perry.,No neutral text provided,a radio - only version has been slated for release featuring pop artist katy perry.
48,"though less sprawlingly ambitious than prior album zen arcade, new day rising, in some ways, abandoned hardcore punk entirely, and helped set the template for alternative rock for the next decade.","Though less ambitious than its predecessor Zen Arcade, New Day Rising represented a shift away from hardcore punk and played a significant role in shaping the sound of alternative rock in the following decade.","though less ambitious than prior album zen arcade, new day rising, in some ways, helped set the template for alternative rock for the next decade."
49,bob dylan's performance generated controversy for his insensitive comment:,bob dylan's performance generated controversy for his comment.,bob dylan's performance generated controversy for his comment:
52,"adrian quist is the uncle of celebrated fashion designer neville quist, founding director of saville row.","Adrian Quist is related to fashion designer Neville Quist, who is known as the founding director of Saville Row.","adrian quist is the uncle of fashion designer neville quist, founding director of saville row."
64,"dangadi, situated in the bolba block, is a beautiful waterfall and an ideal picnic spot in simdega.","dangadi, situated in the Bolba block, is a waterfall and a picnic spot in Simdega.","dangadi, situated in the bolba block, is a beautiful waterfall and a popular picnic spot in simdega."
65,"on october 11, 2008, the rockets defeated the michigan wolverines 13-10, marking the first time the wolverines had ever lost to a mac team .",No neutral text provided,"on october 11, 2008, the rockets defeated the michigan wolverines 13-10, marking the first time a mac team had ever beaten the wolverines ."
73,"there have been many attempts to avoid the deficiencies of the left-right model by describing the political landscape with a multi-dimensional, rather than linear, political spectrum; one such approach is the political compass.","there have been many attempts to avoid the limitations of the left-right model by describing the political landscape with a multi-dimensional, rather than linear, political spectrum; one such approach is the political compass.","there have been many attempts to go beyond the left-right model by describing the political landscape with a multi-dimensional, rather than linear, political spectrum; one such approach is the political compass."
76,"since lewis bought a property in ro negro province, argentina, public access to escondido lake has been under discussion , because nobody likes to have people transiting in your own property .","Since Lewis bought a property in Ro Negro Province, Argentina, public access to Escondido Lake has been under discussion.","since lewis bought a property in ro negro province, argentina, public access to escondido lake has been under discussion."
77,"jagged ridges, deep river canyons and rocky limestone plateaus, with vast caves beneath, make it one of the most scenic spots on earth .",No neutral text provided,"jagged ridges, deep river canyons and rocky limestone plateaus, with vast caves beneath, make it a highly scenic spot ."
79,"one of the most consistent arguments used against the palestinian right of return is that regardless of whatever rights the original palestinian refugees of 1948 have, the vast majority of them have since died, and the vast majority of people to whom any such return would apply to are descended from the original refugees and were not actually born in palestine (in 2012 it was estimated that of the original refugees from 1948, between 30,000 and 50,000 were still living).","one argument often used to challenge the palestinian right of return is that many of the original palestinian refugees from 1948 have passed away over the years, and the descendants who would be the beneficiaries of such a return were not born in palestine. (In 2012, estimates suggested that only between 30,000 and 50,000 of the original refugees from 1948 were still alive).","one common argument used against the palestinian right of return is that regardless of whatever rights the original palestinian refugees of 1948 have, the vast majority of them have since died, and the vast majority of people to whom any such return would apply to are descended from the original refugees and were not actually born in palestine (in 2012 it was estimated that of the original refugees from 1948, between 30,000 and 50,000 were still living)."
85,"him & her is a bafta award winning british television sitcom about a lazy twenty-something couple; steve and becky, who live in walthamstow, london.","him & her is a British television sitcom about a couple, Steve and Becky, who live in Walthamstow, London.","him & her is a british television sitcom about a lazy twenty-something couple; steve and becky, who live in walthamstow, london."
89,"the information superhighway is a hilariously old-timey term which was popularized in the early 1990s by the clinton-gore administration to describe ways of expanding the internet beyond its then-current state (see the 1992 book, whole internet user's guide and catalog).",No neutral text provided,"the information superhighway is a term which was popularized in the early 1990s by the clinton-gore administration to describe ways of expanding the internet beyond its then-current state (see the 1992 book, whole internet user's guide and catalog)."
94,"hezbollah committed serious violations of international humanitarian law, amounting to war crimes, in its deliberate targeting of israeli civilians during the recent conflict , amnesty international report .","Amnesty International reports that Hezbollah committed serious violations of international humanitarian law, including the deliberate targeting of Israeli civilians, during the recent conflict.","amnesty international accuses hezbollah of deliberate targeting of civilians in israel, a violations of international humanitarian law, amounting to war crimes, in during the recent conflict."
