"Human judgment label (1 represents successful removal of bias, 0 represents failure of neutralization)",Source Text,Predicted Neutral Text,True Neutral Text
,"hamas, acronym of harakat al-muqawama al-islamiyya (arabic: , literally ""islamic resistance movement"" and arabic for 'zeal'), is a palestinian islamist movement, political party , and terrorist organization .","hamas, acronym of harakat al-muqawama al-islamiyya (arabic: , literally ""islamic resistance movement"" and arabic for 'zeal'), is a palestinian islamist movement, and military organization .","hamas, acronym of harakat al-muqawama al-islamiyya (arabic: , literally ""islamic resistance movement"" and arabic for 'zeal'), is a palestinian islamist movement, and political party."
,"in 1960, following his returm from military service, the various ""yes men"" and employees hired by elvis presley to handle security and his concert tours were affectionately dubbed the ""memphis mafia"" by the news media.","in 1960, following his returm from military service, the various ""yes men"" and employees hired by elvis presley to handle security and his concert tours were dubbed the ""memphis mafia"" by the news media.","in 1960, following his returm from military service, the various employees hired by elvis presley to handle security and his concert tours were affectionately dubbed the ""memphis mafia"" by the news media."
,"the team debuted during the 2013 foundation cup and is owned by topboss plastic, inc., a manufacturing company that produces different kinds quality pvc sheetings and durable linoleum","the team debuted during the 2013 foundation cup and is owned by topboss plastic, inc., a manufacturing company that produces pvc sheetings and linoleum .","the team debuted during the 2013 foundation cup and is owned by topboss plastic, inc., a manufacturing company that produces pvc sheetings and durable linoleum ."
,his chilling final cry as the south tower of the world trade center collapsed made international headlines.,his final cry as the south tower of the world trade center collapsed made international headlines.,his final cry as the south tower of the world trade center collapsed made international headlines.
,"suad amiry (arabic: ); is an author and architect living in the west bank town of ramallah , in occupied palestine .",suad amiry (arabic: ); is an author and architect living in the west bank town of ramallah.,suad amiry (arabic: ); is an author and architect living in the west bank town of ramallah.
,"in this vein, some readers have found farrell's critique of colonialism and capitalism in his subsequent novel the singapore grip to be heavy-handed : matthew price , writing in bookforum, commented that the book ""reads like a soap opera written by a committee of marxists"".","in this vein, some readers have found farrell's critique of colonialism and capitalism in his subsequent novel the singapore grip to be heavy-handed.","in this vein, some readers have found farrell's critique of colonialism and capitalism in his subsequent novel the singapore grip to be heavy-handed, although those new to the book after the crash of 2008 might not find it so ."
,"the banded carbide precipitates appear in the blade as a beautiful swirling patterning, apparently the origin of the term damask.","the banded carbide precipitates appear in the blade as a complex of light areas ( "" inclusions "" ) and dark swirling patter , and use of pattern-welding can artificially induce this effect.","the banded carbide precipitates appear in the blade as a swirling patterning, apparently the origin of the term damask."
,"the italian hot dog was invented by self promoting jimmy buff's in newark, new jersey in the 1932.","the italian hot dog was invented by jimmy buff's in newark, new jersey in 1932.","the italian hot dog was invented by jimmy buff's in newark, new jersey in 1932."
,"azerbaijanis, also known as azeris, are a iranian people numbering ca.","azerbaijanis, also known as azeris, are an iranian people numbering ca.","azerbaijanis, also known as azeris, are a turkic people numbering ca."
,creation according to genesis is the jewish creation myth in the first two chapters of genesis.,creation according to genesis (what some scholars refer to as the jewish creation myth) is a story in the first two chapters of genesis.,creation according to genesis (what some scholars refer to as the jewish creation myth ) is in the first two chapters of genesis.
,the kingdom of sardinia was a homophobic state and punished homosexuality severely.,"in the kingdom of sardinia , homosexual acts were illegal and severely punished .","in the kingdom of sardinia , homosexual acts were illegal and severely punished ."
,"he is the eldest son of gary ablett, who was a champion aussie rules player at geelong and hawthorn between 1982 - 1997. while gary sr. was a powerhouse forward with a magnificent leap, gary jr. has made his name as a dashing on-baller/forward pocket known for his amazing ability to find space in the tightest pack situations.","he is the eldest son of gary ablett, who was a champion aussie rules player at geelong and hawthorn between 1982 - 1997. while gary sr. was a powerhouse forward with an excellent leap, gary jr. has made his name as a dashing on-baller/forward pocket known for his ability to find space in the tightest pack situations.","he is the eldest son of gary ablett, who was a champion aussie rules player at geelong and hawthorn between 1982 - 1997. while gary sr. was a powerhouse forward with an exceptionally high leap, gary jr. has made his name as an on-baller/forward pocket known for his ability to find space in the tightest pack situations."
,"however, as frontline executive producer michael sullivan said, ""one should be cautious in ascribing its meaning.","frontline executive producer michael sullivan said, ""one should be cautious in ascribing its meaning.","frontline executive producer michael sullivan said, ""one should be cautious in ascribing its meaning."
,a horrible accident involving a helicopter during the filming of twilight zone: the movie killed actor vic morrow and two child actors.,an accident involving a helicopter during the filming of twilight zone: the movie killed actor vic morrow and two child actors.,an accident involving a helicopter during the filming of twilight zone: the movie killed actor vic morrow and two child actors.
,she is known for her emmy-nominated portrayal of pam beesly on the nbc situation comedy the office.,it was also nominated for two primetime emmy awards pows for outstanding comedy series for its second season of 22 episodes.,she is known for her portrayal of pam beesly on the nbc situation comedy the office.
,"he also stated that he thinks of the ending as a happy one because there will be a better tomorrow for those left behind and that lelouch would appreciate this, though director goro taniguchi also notes that the tone of the ending is left for the audience to interpret.","he also stated that he thinks of the ending as a happy one because there will be a better tomorrow for those left behind and that lelouch would appreciate this, and director goro taniguchi also notes that the tone of the ending is left for the audience to interpret.","he also stated that he thinks of the ending as a happy one because there will be a better tomorrow for those left behind and that lelouch would appreciate this, though director goro taniguchi also notes that the ending is left for the audience to interpret."
,"ammukutty, better known as ammu swaminathan, a social worker and independence activist from the prominent vadakkath family of anakkara in palghat, kerala.","ammukutty, known as ammu swaminathan, a social worker and independence activist from the vadakkath family of anakkara in palghat, kerala.","ammukutty, better known as ammu swaminathan, a social worker and independence activist from the vadakkath family of anakkara in palghat, kerala."
,"with its affordable price and attractive design, it became one of the best-selling chairs ever made.","with its affordable price and design, it became one of the best-selling chairs ever made.","with its affordable price and simple design, it became one of the best-selling chairs ever made."
,"despite his bleak existentialist outlook, solidified in the public mind through his articulate and vivid series of interviews with david sylvester, bacon in person was highly engaging and charismatic, articulate, well-read and unapologetically gay.","despite his bleak existentialist outlook, solidified in the public mind through his articulate and vivid series of interviews with david sylvester, bacon in person was highly engaging and charismatic, articulate, well-read and gay.","despite his bleak existentialist outlook, solidified in the public mind through his articulate and vivid series of interviews with david sylvester, bacon in person was highly engaging and charismatic, articulate, well-read and openly gay."
,"the term clintonomics, a portmanteau of clinton and economics, was used to describe , and decry, the economic policies of u.s. president bill clinton during the 1990s.","the term clintonomics, a portmanteau of clinton and economics, was used to describe and evaluate the economic policies of u.s. president bill clinton during the 1990s.","the term clintonomics, a portmanteau of clinton and economics, was used to describe the economic policies of u.s. president bill clinton during the 1990s."
,"it is fair to note that the black characters in the book are not depicted speaking in pidgin english, and any derogatory references are slight and passing.","some critics have noted that the black characters in the book are not depicted speaking in pidgin english, and any derogatory references are slight and passing.","some have noted that the black characters in the book are not depicted speaking in pidgin english, and any derogatory references are slight and passing."
,in 2004 he was forced to retire after ironically being diagnosed with als.,in 2004 he was forced to retire after being diagnosed with als.,in 2004 he was forced to retire after being diagnosed with als.
,"on 30 november 2011 while being interviewed on bbc's the one show, clarkson commented on the uk's public sector strike that day, and jokingly said ""...i would have them taken outside and executed in front of their families.."".","on 30 november 2011 while being interviewed on bbc's the one show, clarkson commented on the uk's public sector strike that day, and said ""...i would have them shot [...]"".","on 30 november 2011 while being interviewed on bbc's the one show, clarkson commented on the uk's public sector strike that day, and said ""...i would have them taken outside and executed in front of their families..""."
,"the zimbabwe african national union was a political party during the struggle for rhodesia's, ultimately zimbabwe's, independence, formed as a split from zapu.","the zimbabwe african national union was a political party during the struggle for rhodesia's, ultimately zimbabwe's, independence, formed as a split from zapu.","the zimbabwe african national union was a political party during the movement for rhodesia's, and ultimately zimbabwe's, independence, formed as a split from zapu."
,"in 2008, bishop gave a speech before the national conference of the pro-segregationist council of conservative citizens","in 2008, bishop gave a speech before the national conference of the council of conservative citizens .","in 2008, bishop gave a speech before the national conference of the controversial council of conservative citizens ."
,"yeats' likely targets for next season will be the 'cup races', notably the yorkshire cup, ascot gold cup , goodwood cup , lonsdale cup and cadran cup , with a possible defense of a potential melbourne cup crown .","yeats' likely targets for next season will be the 'cup races', notably the yorkshire cup, ascot gold cup, goodwood cup, lonsdale cup and cadran cup , with a possible defense of a potential melbourne cup crown .","yeats' likely targets for next season will be the 'cup races', notably the yorkshire cup, ascot gold cup, goodwood cup, lonsdale cup , cadran cup and possibly the melbourne cup ."
,"calzaghe was tentatively scheduled to fight former light heavyweight champion glen johnson in the featured bout of a 8 july, 2006 card at millennium stadium in cardiff, wales he was forced to withdraw from the fight when he re aggravated a hand injury , leading many to believe he ducked a fight with the dangerous johnson .","lennox lewis was among the first to criticize calzaghe refused to fight johnson "" as long as they pay me the money i'm supposed to get "".","calzaghe was tentatively scheduled to fight former light heavyweight champion glen johnson in the featured bout of a 8 july, 2006 card at millennium stadium in cardiff, wales he was forced to withdraw from the fight when he re - aggravated a hand injury."
,"after living in radnorshire, mid-wales from 1970 to 1975, alverson moved to cambridge, england, where he was active in rabble-rousing activities , including resistance to the duke of westminsters rape of cambridge's kite area .",including resistance to the duke of westminsters rape of cambridge's kite area .,"after living in radnorshire, mid-wales from 1970 to 1975, alverson moved to cambridge, england, where he was active in rabble-rousing activities."
,"1941 ) is a abortionist in wichita, kansas in the united states.","1941 ) is an abortion provider in wichita, kansas in the united states.","1941 ) is a physician in wichita, kansas in the united states."
,"the modiglianimiller theorem (of franco modigliani, merton miller) forms the basis for modern thinking on capital structure.","the modiglianimiller theorem (of franco modigliani, merton miller) is a theorem on capital structure, forming part of the basis for modern thinking on capital structure.","the modiglianimiller theorem (of franco modigliani, merton miller) is a theorem on capital structure, arguably forming the basis for modern thinking on capital structure."
,"there are now two main types of matches: safety matches (invented by hungarian chemist, jnos irinyi and strike anywhere matches.","there are now two main types of matches: safety matches (invented by hungarian chemist, jnos irinyi ) and strike anywhere matches.",there are now two main types of matches: safety matches and strike anywhere matches.
,"nokes is a member of test valley borough council from 1999, when she was elected as a councillor for the romsey extra ward; her term will end in 2011 , unless she resigns before .","nokes is a member of test valley borough council from 1999, when she was elected as a councillor for the romsey extra ward; her term will end in 2011.","nokes is a member of test valley borough council from 1999, when she was elected as a councillor for the romsey extra ward; her term is due to end in 2011."
,"the book of the dead itself was drastically rewritten, reorganized, and amended several times in egypt, creating four distinct versions which have been found.","the book of the dead itself was drastically rewritten, reorganized, and amended several times in egypt, creating four distinct versions which have been found.","budge maintains that the book of the dead itself was drastically rewritten, reorganized, and amended several times in egypt, creating four distinct versions which have been found."
,"he is a member of the democratic party and is the first democrat to represent idaho at the federal level since larry larocco, who represented the 1st for two terms until being swept out in the republican revolution of 1994 .","he is a member of the democratic party and is the first democrat to represent idaho at the federal level since larry larocco, who represented the 1st for two terms until the republican revolution of 1994 .","he is a member of the democratic party and is the first democrat to represent idaho at the federal level since larry larocco, who represented the 1st district for two terms until the 1994 elections ."
,"instead of forcing the emeralds off of her once she was back on her feet, knuckles gazed almost lovingly into her large, heavily-shadowed eyes.","instead of forcing the emeralds off of her once she was back on her feet, knuckles gazed into her eyes.","instead of forcing the emeralds off of her once she was back on her feet, knuckles gazed at each other into her eyes."
,"may 14 at a press conference, john lennon and paul mccartney introduce the beatles' new business concept, apple corps, ltd., a disastrously mismanaged entertainment company that included a recording studio, a record label, and clothing store.","may 14 at a press conference, john lennon and paul mccartney introduce the beatles' new business concept, apple corps, ltd., an entertainment company that included a recording studio, a record label, and clothing store.","may 14 at a press conference, john lennon and paul mccartney introduce the beatles' new business concept, apple corps, ltd., an entertainment company that included a recording studio, a record label, and clothing store."
,it was during his time at sea that mills witnessed great loss of life caused by the tragically unsafe engaging and disengaging methods used on ship lifeboats.,"however, mills was a strong proponent of the cause and his efforts had a profound effect on reducing the loss of life through lifeboat-related accidents .",it was during his time at sea that mills witnessed great loss of life caused by the unsafe engaging and disengaging methods used on ship lifeboats.
,"the inquest revealed that she was part of an internet ""emo"" cult and her bebo page contained an image of an 'emo girl' with bloody wrists.","the inquest stated that she was part of an internet ""emo"" cult and her bebo page contained an image of an 'emo girl' with bloody wrists.","the inquest claimed that she was part of an internet ""emo"" cult and her bebo page contained an image of an 'emo girl' with bloody wrists."
,"lin falls in love with karla, a swiss-american woman who refuses to love him back, befriends local artists and actors, landing him roles as an extra in several bollywood movies, and is recruited by the mumbai underworld for various criminal operations, including drug and weapons trade.","lin falls in love with karla, a swiss-american woman who does not love him back, befriends local artists and actors, landing him roles as an extra in several bollywood movies, and is recruited by the mumbai underworld for various criminal operations, including drug and weapons trade.","lin falls in love with karla, a swiss-american woman who does not love him back, befriends local artists and actors, landing him roles as an extra in several bollywood movies, and is recruited by the mumbai underworld for various criminal operations, including drug and weapons trade."
