Sample Index,Source Text,Predicted Neutral Text,True Neutral Text
3,hercules is an excellent hand to hand combatant and is a particularly excellent greco-roman wrestler.,hercules ' 'is a particularly excellent greco-roman wrestler.,hercules is an excellent hand to hand combatant and is a excellent greco-roman wrestler.
5,gatlinburg is a key tourism destination in tennessee.,"gatlinburg features some charming architecture, and some locals ensure that the surrounding countryside remains free of litter and unsightly development.",gatlinburg is an important tourism destination in tennessee.
7,"the former is generally taken in year 12 ( year 13 in northern ireland ) also known as ""lower sixth"" and the latter is generally taken in year 13 (year 14 in northern ireland) which is also known as ""upper sixth"".",the former is generally taken in year 12 and the latter is generally taken in year 13 .,"the former is generally taken in year 12 , year 13 in northern ireland ( also known as ""lower sixth"" in sixth form parlance) and the latter is generally taken in year 13 (year 14 in northern ireland) ( ""upper sixth"" ) ."
8,an affluent and often opulent stratum of the middle class (capitalist class) who stood oppositeand derived their income fromthe proletariat class.,an affluent and often opulent stratum of the middle class (capitalist class) who stood opposite the proletariat class.,an affluent and often opulent stratum of the middle class (capitalist class) who stood opposite the proletariat class.
10,"generation y is one of the most medicated generations in human history, with many generation yers prescribed (subdued/controlled by) antidepressants and other behavior-altering drugs like ritalin.","generation y is one of the most medicated generations in human history, with many generation yers prescribed antidepressants and other behavior-altering drugs like ritalin.","generation y is one of the most medicated generations in human history, with many generation yers prescribed antidepressants and other behavior-altering drugs like ritalin."
11,"mitchum made a departure from his typical screen persona with the david lean epic ryan's daughter in 1970. in the critically lambasted film, he starred as charles shaughnessy, a mild-mannered schoolmaster in world war i era ireland.","mitchum made a departure from his usual screen roles with the david lean epic ryan's daughter in 1970. in the critically lambasted film, he starred as charles shaughnessy, a mild-mannered schoolmaster in world war i era ireland.","mitchum made a departure from his typical screen persona with the 1970 david lean film ryan's daughter , in which he starred as charles shaughnessy, a mild-mannered schoolmaster in world war i era ireland."
15,traxster also has a brother dun d who recently passed away on january 1st 2006. also owner and ceo of cwal records.,"the album was notable for featuring the controversial single "" cop killer "" .",traxster also has a brother dun d who recently died on january 1st 2006. also owner and ceo of cwal records.
17,"suad amiry (arabic: ); is an author and architect living in the west bank town of ramallah , in occupied palestine .",suad amiry (arabic: ); is an author and architect living in the west bank town of ramallah.,suad amiry (arabic: ); is an author and architect living in the west bank town of ramallah.
21,"lt. colonel gopakumar pallikalathu, ma,mba,pgdm - a serving indian army officer : a multi faceted personality who travelled throughout india and an active participant in curbing the terrorism in jammu and kashmir.","lt. colonel gopakumar pallikalathu, ma,mba,pgdm - a serving indian army officer : a multi faceted personality who travelled throughout india and an active participant in curbing the terrorism in jammu and kashmir.","lt. colonel gopakumar pallikalathu, ma,mba,pgdm - a serving indian army officer : an army officer who travelled throughout india and an active participant in curbing the terrorism in jammu and kashmir."
24,"in early 2015, sb 6548, which would prevent transgender individuals from using the correct bathroom , was introduced in the senate but failed to pass.","in early 2015, sb 6548, which would prevent transgender individuals from using the bathroom that corresponds to their birth sex was introduced in the senate but failed to pass.","in early 2015, sb 6548, which would prevent transgender individuals from using the bathroom they self-identify with was introduced in the senate but failed to pass."
28,"the blonde beauty was born holly michelle gilliam in long beach, california.","he was born to a indian mother and italian father in london, england.","she was born holly michelle gilliam in long beach, california."
