True Neutral Text,Predicted Neutral Text,wmd
"hamas, acronym of harakat al-muqawama al-islamiyya (arabic: , literally ""islamic resistance movement"" and arabic for 'zeal'), is a palestinian islamist movement, and political party.","hamas, acronym of harakat al-muqawama al-islamiyya (arabic: , literally ""islamic resistance movement"" and arabic for 'zeal'), is a palestinian islamist movement, and military organization .",0.058470647492419016
"in 1960, following his returm from military service, the various employees hired by elvis presley to handle security and his concert tours were affectionately dubbed the ""memphis mafia"" by the news media.","in 1960, following his returm from military service, the various ""yes men"" and employees hired by elvis presley to handle security and his concert tours were dubbed the ""memphis mafia"" by the news media.",0.04227735837830002
"the team debuted during the 2013 foundation cup and is owned by topboss plastic, inc., a manufacturing company that produces pvc sheetings and durable linoleum .","the team debuted during the 2013 foundation cup and is owned by topboss plastic, inc., a manufacturing company that produces pvc sheetings and linoleum .",0.033188659637565905
his final cry as the south tower of the world trade center collapsed made international headlines.,his final cry as the south tower of the world trade center collapsed made international headlines.,0.0
suad amiry (arabic: ); is an author and architect living in the west bank town of ramallah.,suad amiry (arabic: ); is an author and architect living in the west bank town of ramallah.,0.0
"in this vein, some readers have found farrell's critique of colonialism and capitalism in his subsequent novel the singapore grip to be heavy-handed, although those new to the book after the crash of 2008 might not find it so .","in this vein, some readers have found farrell's critique of colonialism and capitalism in his subsequent novel the singapore grip to be heavy-handed.",0.1352302179869946
"the banded carbide precipitates appear in the blade as a swirling patterning, apparently the origin of the term damask.","the banded carbide precipitates appear in the blade as a complex of light areas ( "" inclusions "" ) and dark swirling patter , and use of pattern-welding can artificially induce this effect.",0.16298916630122792
"the italian hot dog was invented by jimmy buff's in newark, new jersey in 1932.","the italian hot dog was invented by jimmy buff's in newark, new jersey in 1932.",0.0
"azerbaijanis, also known as azeris, are a turkic people numbering ca.","azerbaijanis, also known as azeris, are an iranian people numbering ca.",0.09256602518759713
creation according to genesis (what some scholars refer to as the jewish creation myth ) is in the first two chapters of genesis.,creation according to genesis (what some scholars refer to as the jewish creation myth) is a story in the first two chapters of genesis.,0.029326542848222746
"in the kingdom of sardinia , homosexual acts were illegal and severely punished .","in the kingdom of sardinia , homosexual acts were illegal and severely punished .",0.0
"he is the eldest son of gary ablett, who was a champion aussie rules player at geelong and hawthorn between 1982 - 1997. while gary sr. was a powerhouse forward with an exceptionally high leap, gary jr. has made his name as an on-baller/forward pocket known for his ability to find space in the tightest pack situations.","he is the eldest son of gary ablett, who was a champion aussie rules player at geelong and hawthorn between 1982 - 1997. while gary sr. was a powerhouse forward with an excellent leap, gary jr. has made his name as a dashing on-baller/forward pocket known for his ability to find space in the tightest pack situations.",0.020753775431967963
"frontline executive producer michael sullivan said, ""one should be cautious in ascribing its meaning.","frontline executive producer michael sullivan said, ""one should be cautious in ascribing its meaning.",0.0
an accident involving a helicopter during the filming of twilight zone: the movie killed actor vic morrow and two child actors.,an accident involving a helicopter during the filming of twilight zone: the movie killed actor vic morrow and two child actors.,0.0
she is known for her portrayal of pam beesly on the nbc situation comedy the office.,it was also nominated for two primetime emmy awards pows for outstanding comedy series for its second season of 22 episodes.,0.246204395299594
"he also stated that he thinks of the ending as a happy one because there will be a better tomorrow for those left behind and that lelouch would appreciate this, though director goro taniguchi also notes that the ending is left for the audience to interpret.","he also stated that he thinks of the ending as a happy one because there will be a better tomorrow for those left behind and that lelouch would appreciate this, and director goro taniguchi also notes that the tone of the ending is left for the audience to interpret.",0.027462025844911118
"ammukutty, better known as ammu swaminathan, a social worker and independence activist from the vadakkath family of anakkara in palghat, kerala.","ammukutty, known as ammu swaminathan, a social worker and independence activist from the vadakkath family of anakkara in palghat, kerala.",0.04988831733542742
"with its affordable price and simple design, it became one of the best-selling chairs ever made.","with its affordable price and design, it became one of the best-selling chairs ever made.",0.046279262782335455
"despite his bleak existentialist outlook, solidified in the public mind through his articulate and vivid series of interviews with david sylvester, bacon in person was highly engaging and charismatic, articulate, well-read and openly gay.","despite his bleak existentialist outlook, solidified in the public mind through his articulate and vivid series of interviews with david sylvester, bacon in person was highly engaging and charismatic, articulate, well-read and gay.",0.023090696144315623
"the term clintonomics, a portmanteau of clinton and economics, was used to describe the economic policies of u.s. president bill clinton during the 1990s.","the term clintonomics, a portmanteau of clinton and economics, was used to describe and evaluate the economic policies of u.s. president bill clinton during the 1990s.",0.037223974902792736
"some have noted that the black characters in the book are not depicted speaking in pidgin english, and any derogatory references are slight and passing.","some critics have noted that the black characters in the book are not depicted speaking in pidgin english, and any derogatory references are slight and passing.",0.03924299893349831
in 2004 he was forced to retire after being diagnosed with als.,in 2004 he was forced to retire after being diagnosed with als.,0.0
"on 30 november 2011 while being interviewed on bbc's the one show, clarkson commented on the uk's public sector strike that day, and said ""...i would have them taken outside and executed in front of their families.."".","on 30 november 2011 while being interviewed on bbc's the one show, clarkson commented on the uk's public sector strike that day, and said ""...i would have them shot [...]"".",0.08189813378729907
"the zimbabwe african national union was a political party during the movement for rhodesia's, and ultimately zimbabwe's, independence, formed as a split from zapu.","the zimbabwe african national union was a political party during the struggle for rhodesia's, ultimately zimbabwe's, independence, formed as a split from zapu.",0.06532712335223934
"in 2008, bishop gave a speech before the national conference of the controversial council of conservative citizens .","in 2008, bishop gave a speech before the national conference of the council of conservative citizens .",0.04783672084325494
"yeats' likely targets for next season will be the 'cup races', notably the yorkshire cup, ascot gold cup, goodwood cup, lonsdale cup , cadran cup and possibly the melbourne cup .","yeats' likely targets for next season will be the 'cup races', notably the yorkshire cup, ascot gold cup, goodwood cup, lonsdale cup and cadran cup , with a possible defense of a potential melbourne cup crown .",0.057980285174007745
"calzaghe was tentatively scheduled to fight former light heavyweight champion glen johnson in the featured bout of a 8 july, 2006 card at millennium stadium in cardiff, wales he was forced to withdraw from the fight when he re - aggravated a hand injury.","lennox lewis was among the first to criticize calzaghe refused to fight johnson "" as long as they pay me the money i'm supposed to get "".",0.2217177953857255
"after living in radnorshire, mid-wales from 1970 to 1975, alverson moved to cambridge, england, where he was active in rabble-rousing activities.",including resistance to the duke of westminsters rape of cambridge's kite area .,0.2737806954629731
"1941 ) is a physician in wichita, kansas in the united states.","1941 ) is an abortion provider in wichita, kansas in the united states.",0.18587427784338992
"the modiglianimiller theorem (of franco modigliani, merton miller) is a theorem on capital structure, arguably forming the basis for modern thinking on capital structure.","the modiglianimiller theorem (of franco modigliani, merton miller) is a theorem on capital structure, forming part of the basis for modern thinking on capital structure.",0.035262759056523874
there are now two main types of matches: safety matches and strike anywhere matches.,"there are now two main types of matches: safety matches (invented by hungarian chemist, jnos irinyi ) and strike anywhere matches.",0.15666067498354808
"nokes is a member of test valley borough council from 1999, when she was elected as a councillor for the romsey extra ward; her term is due to end in 2011.","nokes is a member of test valley borough council from 1999, when she was elected as a councillor for the romsey extra ward; her term will end in 2011.",0.04340135126630753
"budge maintains that the book of the dead itself was drastically rewritten, reorganized, and amended several times in egypt, creating four distinct versions which have been found.","the book of the dead itself was drastically rewritten, reorganized, and amended several times in egypt, creating four distinct versions which have been found.",0.04711053805222688
"he is a member of the democratic party and is the first democrat to represent idaho at the federal level since larry larocco, who represented the 1st district for two terms until the 1994 elections .","he is a member of the democratic party and is the first democrat to represent idaho at the federal level since larry larocco, who represented the 1st for two terms until the republican revolution of 1994 .",0.06234663876992295
"instead of forcing the emeralds off of her once she was back on her feet, knuckles gazed at each other into her eyes.","instead of forcing the emeralds off of her once she was back on her feet, knuckles gazed into her eyes.",0.048636541415154895
"may 14 at a press conference, john lennon and paul mccartney introduce the beatles' new business concept, apple corps, ltd., an entertainment company that included a recording studio, a record label, and clothing store.","may 14 at a press conference, john lennon and paul mccartney introduce the beatles' new business concept, apple corps, ltd., an entertainment company that included a recording studio, a record label, and clothing store.",0.0
it was during his time at sea that mills witnessed great loss of life caused by the unsafe engaging and disengaging methods used on ship lifeboats.,"however, mills was a strong proponent of the cause and his efforts had a profound effect on reducing the loss of life through lifeboat-related accidents .",0.23383148602750292
"the inquest claimed that she was part of an internet ""emo"" cult and her bebo page contained an image of an 'emo girl' with bloody wrists.","the inquest stated that she was part of an internet ""emo"" cult and her bebo page contained an image of an 'emo girl' with bloody wrists.",0.042293254323454016
"lin falls in love with karla, a swiss-american woman who does not love him back, befriends local artists and actors, landing him roles as an extra in several bollywood movies, and is recruited by the mumbai underworld for various criminal operations, including drug and weapons trade.","lin falls in love with karla, a swiss-american woman who does not love him back, befriends local artists and actors, landing him roles as an extra in several bollywood movies, and is recruited by the mumbai underworld for various criminal operations, including drug and weapons trade.",0.0
he spent the 2012 postseason on the physically unable to perform list as the cardinals won the 2012 nlds against the washington nationals but lost the 2012 nlcs against the san francisco giants.,he spent the 2012 postseason on the physically unable to perform list as the cardinals won the 2012 nlds against the washington nationals but lost the 2012 nlcs against the san francisco giants.,0.0
dubai ladies club is a private members club for women.,dubai ladies club is a private members club for women.,0.0
"however, the only other person buried there was ussishkin himself, who died in 1941. a national leaders plot was established on mount herzl after the founding of the state in 1948, in part because mount scopus became an enclave in jordanian- occupied territory.","however, the only other person buried there was ussishkin himself, who died in 1941. a national leaders plot was established on mount herzl after the founding of the state in 1948, in part because mount scopus became an enclave in jordanian- controlled territory.",0.027302012882897214
"keith olbermann (born january 27, 1959) is the american news anchor, commentator and radio sportscaster.","keith olbermann (born january 27, 1959) is an american news anchor, commentator and radio sportscaster.",0.038472588943918695
the united states of america was a progressive rock and psychedelic band whose works are an example of early electronic music in rock and roll.,the united states of america was a progressive rock and psychedelic band whose works are often considered an example of early electronic music in rock and roll.,0.039995463187164834
"the panacea society is christian -based cult based in bedford, england which sends out cure-alls and which wishes to promote the work of joanne southcott.","the panacea society is a christian cult based in bedford, england who send out cure-alls and wish to promote the work of joanne southcott.",0.07122071520943826
- short: fc porto or fcp - is a portuguese sports club best known for its footballing endeavors .,- short: fc porto or fcp - is a portuguese sports club best known for its footballing team .,0.07092664142091144
"it is known by various other names — for example, the united states' past conscription program was known colloquially as ""the draft"".","it may be known by various other names — for example, the united states' past conscription program was known colloquially as ""the draft"".",0.04038997017571583
"over the next few years, the nutrition foundation funded and designed several small studies , each concluding that the diet produced little effect.","over the next few years, the nutrition foundation funded and designed several small studies , each concluding that the diet produced little effect.",0.0
"robert silverberg (born january 15, 1935) is a american author, best known for writing science fiction.","robert silverberg (born january 15, 1935) is a author, best known for writing science fiction.",0.044057409232702634
spiegel worked briefly in hollywood in 1927 following a stint serving with hashomer hatzair in palestine.,spiegel worked briefly in hollywood in 1927 following a stint serving with hashomer hatzair in mandate palestine.,0.04219707838512551
