Source Text,Predicted Neutral Text,wmd
the bureau of prohibition attempted to regulate alcohol during prohibition under the volstead act.,the bureau of prohibition successfully regulated the alcohol industry during prohibition under the volstead act.,0.1359243179109394
"the band members are portrayed by ex-dokken and current foreigner bassist jeff pilson, black label society founder, the legendary guitarist zakk wylde, actor dominic west, and ex-foreigner and ex-black country communion drummer jason bonham (the son of the late drummer for led zeppelin, john bonham).","the band members are portrayed by ex-dokken and current foreigner bassist jeff pilson, black label society founder, guitarist zakk wylde, actor dominic west, and ex-foreigner and ex-black country communion drummer jason bonham (the son of the late drummer for led zeppelin, john bonham).",0.023067128784274662
gnewsense is a gnu/ linux distribution based on ubuntu.,"the gnu system has appeared in variants based on and using linux kernels, hurd kernels, the plan 9 from bell labs operating system, and solaris from sun microsystems .",0.3470585330865434
"located on a picturesque 15-acre campus in new delhi, india amity is also know for being the first wireless campus of india.","near noiva do cordeiro, brazil a beautifull valley(l) shapes near natanz, iran.",0.3122909536999034
"the last stage of this ridiculously long battle is situated in front of hyrule castle, in a magically closed-off arena.","the final stage of this battle is situated in front of hyrule castle, in a magically closed-off arena.",0.08342709772082071
"graffiti (strictly, as singular, ""graffito,"" from the italian ""graffiti"" being the plural) are images or letters applied without permission to publicly viewable surfaces such as walls or bridges.","graffiti (strictly, as singular, ""graffito,"" from the italian ""graffiti"" being the plural) are images or letters applied without consent to publicly viewable surfaces such as walls or bridges.",0.035950061678136476
"a 2, the bettor must triple his/her bet.","however, in the latter case it requires a gigantic mathematical virtue of patience to wait for the event to complete several thousand split hands before larger-than-normal profits are realised.",0.2728414663823585
"john bryant, author and white supremist writes on his blog ""the quackwatch website, then, may be seen as a good representation of conventional medical opinion against the assault of alternative therapies.","john bryant, author, writes on his blog ""the quackwatch website, then, may be seen as a good representation of conventional medical opinion against the assault of alternative therapies.",0.03548485234027199
"ironically, no public money will be spent on the memorial.","only one cinema chain, odeon cinemas, refused to screen it.",0.2852441809816596
"pepperland is an instrumental orchestral piece conducted and composed by the beatles' producer george martin for the yellow submarine film and was the introduction to the orchestral side 2 of the film's soundtrack album by the beatles, released in 1969. the song was recorded by a 41-piece orchestra at abbey road studios on 2223 october 1968. the piece, as with the others in the film, is tailored to the vibrant visuals of the film , so contain novelty sounds, effects, and musical experimentation that are better understood when paired with these visuals for some, however these pieces of music can also be admired for their beauty on their own .","crimson wrote to martin asking if the song could be released as a single, but martin suggested an album of all original material.",0.23251871501202565
"the districts in both manchester and salford gained ""m"" postcodes, so ""salford 4"" became m4, etc ., much to the chagrin of salfordians .","the districts in both manchester and salford gained ""m"" postcodes, so ""salford 4"" became m4, etc.",0.08033781639239483
"it seems clear that the third part of the secret revealed in the year 2000 was not the real secret, or at least not the full secret.","other sources suggest that the whole secret was revealed in 2000, and that the text of the third secret released by the vatican was incomplete.",0.12499392270059635
"the band had released three albums (destroyer, rock and roll over, and love gun) since the previous live outing, the seminal 1975 release alive!, and the band drew upon the variety of new tracks, with eddie kramer producing.","bug premiered at the 1996 cannes film festival, later winning the fipresci prize at the viennale in vienna.",0.2483842671802904
"the character of annabelle is based on roseanne barr, whose anger and bad behavior lorre suffered under while running her eponymous blockbuster tv show; the title font for the show-within-a-show ""annabelle"" is even identical to the one used for roseanne.","the character of annabelle is based on roseanne barr, who lorre believed behaved poorly while he was running her eponymous blockbuster tv show; the title font for the show-within-a-show ""annabelle"" is even identical to the one used for roseanne.",0.060771440079867234
"in a later blogpost , author jason colavito suggested that the mark described as a comma was unnecessary as a word divider as a space between the words already existed.",his interpetation of some of the tablet had been questioned by author jason colavito in a later blog post and elsewhere.,0.2369818233464858
