Sequence,Predicted Neutral Text,Source Text,BLEU Score
1,hercules ' 'is a particularly excellent greco-roman wrestler.,hercules is an excellent hand to hand combatant and is a particularly excellent greco-roman wrestler.,0.3573311964723874
2,"gatlinburg features some charming architecture, and some locals ensure that the surrounding countryside remains free of litter and unsightly development.",gatlinburg is a key tourism destination in tennessee.,0.0909090909090909
3,the former is generally taken in year 12 and the latter is generally taken in year 13 .,"the former is generally taken in year 12 ( year 13 in northern ireland ) also known as ""lower sixth"" and the latter is generally taken in year 13 (year 14 in northern ireland) which is also known as ""upper sixth"".",0.18887560283756186
4,an affluent and often opulent stratum of the middle class (capitalist class) who stood opposite the proletariat class.,an affluent and often opulent stratum of the middle class (capitalist class) who stood oppositeand derived their income fromthe proletariat class.,0.7843180997739739
5,"generation y is one of the most medicated generations in human history, with many generation yers prescribed antidepressants and other behavior-altering drugs like ritalin.","generation y is one of the most medicated generations in human history, with many generation yers prescribed (subdued/controlled by) antidepressants and other behavior-altering drugs like ritalin.",0.8574039191604413
6,"mitchum made a departure from his usual screen roles with the david lean epic ryan's daughter in 1970. in the critically lambasted film, he starred as charles shaughnessy, a mild-mannered schoolmaster in world war i era ireland.","mitchum made a departure from his typical screen persona with the david lean epic ryan's daughter in 1970. in the critically lambasted film, he starred as charles shaughnessy, a mild-mannered schoolmaster in world war i era ireland.",0.9512195121951219
7,"the album was notable for featuring the controversial single "" cop killer "" .",traxster also has a brother dun d who recently passed away on january 1st 2006. also owner and ceo of cwal records.,0.03755628745898426
8,suad amiry (arabic: ); is an author and architect living in the west bank town of ramallah.,"suad amiry (arabic: ); is an author and architect living in the west bank town of ramallah , in occupied palestine .",0.8265654376242381
9,"lt. colonel gopakumar pallikalathu, ma,mba,pgdm - a serving indian army officer : a multi faceted personality who travelled throughout india and an active participant in curbing the terrorism in jammu and kashmir.","lt. colonel gopakumar pallikalathu, ma,mba,pgdm - a serving indian army officer : a multi faceted personality who travelled throughout india and an active participant in curbing the terrorism in jammu and kashmir.",1.0
10,"in early 2015, sb 6548, which would prevent transgender individuals from using the bathroom that corresponds to their birth sex was introduced in the senate but failed to pass.","in early 2015, sb 6548, which would prevent transgender individuals from using the correct bathroom , was introduced in the senate but failed to pass.",0.8125
11,"he was born to a indian mother and italian father in london, england.","the blonde beauty was born holly michelle gilliam in long beach, california.",0.3333333333333333
12,"so whereas ""pro-life"" people use terms such as ""unborn child"", ""unborn baby"", or ""prenatal"" (""postnatal"" refers to infant after birth), ""pro-choice"" people use medical terminology such as zygote, embryo, or fetus.","so whereas ""pro-life"" people use medical terms such as ""unborn child"", ""unborn baby"", or ""prenatal"" (""postnatal"" refers to infant after birth), ""pro-choice"" people use medical terminology such as zygote, embryo, or fetus.",0.9805831403241088
13,"during his time in mumbai, lin falls in love with karla, a swiss-american woman who rejects his love, befriends local artists and actors, landing him roles as an extra in several bollywood movies, and is recruited by the mumbai underworld for various criminal operations, including drug and weapons trade.","lin falls in love with karla, a swiss-american woman who refuses to love him back, befriends local artists and actors, landing him roles as an extra in several bollywood movies, and is recruited by the mumbai underworld for various criminal operations, including drug and weapons trade.",0.8571428571428571
14,"the so-called third view sees the main issue as political: serb officials claim that the census was designed to cut the number of serbs in bosnia and herzegovina , and thereby harm their plan s for the areaâs future .","they think that appellation bosnian refers to the whole country, therefore implying that bosnian is the national standard language of all bosnians, not only bosniaks.",0.17073170731707318
15,"the term ""rootkit"" (also written as ""root kit"") originally referred to a set of recompiled unix tools such as ""ps"", ""netstat"", ""w"" and ""passwd"" that would carefully hide any trace of the cracker that those commands would normally display, thus allowing the intruders to maintain ""root"" on the system without the system administrator even seeing them.","the term ""rootkit"" (also written as ""root kit"") originally referred to a set of recompiled unix tools such as ""ps"", ""netstat"", ""w"" and ""passwd"" that would carefully hide any trace of the cracker that those commands would normally display, thus allowing the crackers to maintain ""root"" on the system without the system administrator even seeing them.",0.9868421052631579
16,the city is home to three of the little league baseball teams to have grounded to prominence in the little league world series; it was also the setting for the 1951 disney film ' the littlest outlaw '.,"the buildings are generally well preserved, including the newly renovated casino theatre which looks amazing .",0.075
17,there is also evidence of comcast using rst packets on groupware applications that have nothing to do with file sharing.,now there is also evidence of comcast using rst packets on groupware applications that have nothing to do with file sharing.,0.9534969548334766
18,"his debut album,  the college dropout  is considered to have been influential in bring  hip hop  back to its more unadulterated roots in the mid 00s .","ran bosilek (26 september 1886, gabrovo - 8 october 1958, sofia), born gencho stanchev negentsov , was a famous bulgarian author of children's books.",0.06417123723914792
19,"the north georgia agricultural fair began in 1858 in gilmer county, georgia as the north georgia agricultural society.","first held in 1916, the durham fair in durham, connecticut is one of the largest agricultural fairs in the world .",0.3442831905700232
20,the 2004 champ car world series season was an improvement over past seasons with new sponsors american medical response and yoke tv.,the 2004 champ car world series season was the team's strongest year with new sponsors american medical response and yoke tv.,0.782608695652174
